"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","462","462","0.356766","0.244746","0.615736"
"Acacias, Meta, Colombia","CM","ACH6","3.9","-73.78","00","566","478","478","0.000512","0.00053","0.000518"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","493","493","0.114434","0.073896","0.033658"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","494","494","0.32311","0.532243","0.620527"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","499","499","1.761757","1.472966","7.34911"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","500","500","0.071168","0.059982","0.064375"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","501","501","0.154182","0.225988","0.265239"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","502","502","0.174311","0.165757","0.170424"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","514","514","3.230704","4.321378","8.526826"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","525","525","0.042732","0.04982","0.049116"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","536","536","0.018652","0.017904","0.014611"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","541","541","0.055138","0.045683","0.038069"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","543","543","0.013437","0.021215","0.010608"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","544","544","0.017336","0.021476","0.012125"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","567","567","0.015915","0.021684","0.01312"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","610","610","0.090691","0.093679","0.033246"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","612","612","0.003673","0.00415","0.002771"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","668","668","0.010818","0.012423","0.007409"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","669","669","0.020052","0.021225","0.011961"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","677","677","0.092327","0.098956","0.177502"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","686","686","0.005741","0.006455","0.003893"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","725","725","0.031415","0.016144","0.020066"
"Volcan Purace, Cauca, Colombia","CM","COBO","2.33","-76.4","00","4294","761","761","0.00571","0.011684","0.007562"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","792","792","0.005484","0.008161","0.008184"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","793","793","0.006717","0.006316","0.004879"
